1,1,10,1
2,1,11,2
3,1,12,3
4,1,13,4
5,1,14,5
6,2,15,1
7,2,16,2
8,2,17,3
9,2,18,4
10,2,19,5
11,3,20,1
12,3,21,2
13,3,22,3
14,3,23,4
15,3,24,5
16,4,25,1
17,4,26,2
18,4,27,3
19,4,28,4
20,4,29,5
21,5,30,1
22,5,31,2
23,5,32,3
24,5,33,4
25,5,34,5
26,6,35,1
27,6,36,2
28,6,37,3
29,6,38,4
30,6,39,5
31,7,40,1
32,7,41,2
33,7,42,3
34,7,43,4
35,7,44,5
36,8,45,1
37,8,46,2
38,8,47,3
39,8,48,4
40,8,49,5
41,9,50,1
42,9,51,2
43,9,52,3
44,9,53,4
45,9,54,5
46,10,55,1
47,10,56,2
48,10,57,3
49,10,58,4
50,10,59,5
51,11,60,1
52,11,61,2
53,11,62,3
54,11,63,4
55,11,64,5
56,12,65,1
57,12,66,2
58,12,67,3
59,12,68,4
60,12,69,5
